YearWeekISO,ReportingCountry,Denominator,NumberDosesReceived,NumberDosesExported,FirstDose,FirstDoseRefused,SecondDose,DoseAdditional1,DoseAdditional2,DoseAdditional3,DoseAdditional4,DoseAdditional5,UnknownDose,Region,TargetGroup,Vaccine,Population
2022-W21,IT,4815838.0,,,5,,18,0,0,0,0,0,0,ITI4,ALL,NVXD,59030133
2022-W21,IT,4815838.0,,,93,,230,2027,7377,0,0,0,0,ITI4,ALL,COM,59030133
2022-W21,IT,1266109.0,,,5,,14,193,376,0,0,0,0,ITI3,ALL,MOD,59030133
2022-W21,IT,1266109.0,,,3,,9,1,0,0,0,0,0,ITI3,ALL,NVXD,59030133
2022-W21,IT,1266109.0,,,25,,93,651,1227,0,0,0,0,ITI3,ALL,COM,59030133
2022-W21,IT,732500.0,,,0,,4,8,63,0,0,0,0,ITI2,ALL,MOD,59030133
2022-W21,IT,732500.0,,,1,,4,0,0,0,0,0,0,ITI2,ALL,NVXD,59030133
2022-W44,IT,49811219.0,0.0,,87,,56,3752,48974,5004,0,0,0,IT,ALL,COMBA.1,59030133
2022-W44,IT,49811219.0,181461.0,,344,,309,142,597,32,0,0,0,IT,ALL,COM,59030133
2022-W03,IT,1377717.0,,,2323,,2054,59927,0,0,0,0,0,ITG2,ALL,MOD,59030133
2022-W02,IT,1377717.0,,,3820,,2819,25298,0,0,0,0,0,ITG2,ALL,COM,59030133
2022-W02,IT,463918.0,,,1405,,768,30218,0,0,0,0,0,ITF5,ALL,MOD,59030133
2022-W02,IT,3312433.0,,,0,,0,1,0,0,0,0,0,ITF4,ALL,COMBA.4-5,59030133
2022-W02,IT,252530.0,,,191,,280,7979,0,0,0,0,0,ITF2,ALL,MOD,59030133
2022-W02,IT,4815838.0,,,14025,,8249,208976,8,0,0,0,0,ITI4,ALL,MOD,59030133
2022-W02,IT,1266109.0,,,3067,,3060,39362,0,0,0,0,0,ITI3,ALL,COM,59030133
2022-W01,IT,4030695.0,,,15877,,14333,220021,1,0,0,0,0,ITG1,ALL,MOD,59030133
2022-W01,IT,463918.0,,,946,,605,30001,0,0,0,0,0,ITF5,ALL,MOD,59030133
2022-W01,IT,4645744.0,,,13958,,13745,267986,0,0,0,0,0,ITF3,ALL,MOD,59030133
2022-W11,IT,1377717.0,,,39,,275,3413,2,0,0,0,0,ITG2,ALL,MOD,59030133
2022-W11,IT,1377717.0,,,36,,0,0,0,0,0,0,0,ITG2,ALL,NVXD,59030133
2022-W11,IT,1377717.0,,,141,,638,4857,276,0,0,0,0,ITG2,ALL,COM,59030133
2022-W11,IT,4030695.0,,,241,,2637,7248,23,0,0,0,0,ITG1,ALL,MOD,59030133
2022-W11,IT,4030695.0,,,156,,24,0,0,0,0,0,0,ITG1,ALL,NVXD,59030133
2022-W11,IT,4030695.0,,,881,,3962,18510,262,0,0,0,0,ITG1,ALL,COM,59030133
2022-W11,IT,1558662.0,,,103,,864,1547,23,0,0,0,0,ITF6,ALL,MOD,59030133
2022-W11,IT,1558662.0,,,53,,3,0,0,0,0,0,0,ITF6,ALL,NVXD,59030133
2022-W11,IT,1558662.0,,,325,,1425,6119,111,0,0,0,0,ITF6,ALL,COM,59030133
2022-W11,IT,463918.0,,,22,,164,836,5,0,0,0,0,ITF5,ALL,MOD,59030133
2022-W11,IT,463918.0,,,6,,2,0,0,0,0,0,0,ITF5,ALL,NVXD,59030133
2022-W11,IT,463918.0,,,52,,228,2033,94,0,0,0,0,ITF5,ALL,COM,59030133
2022-W11,IT,3312433.0,,,118,,827,4853,62,0,0,0,0,ITF4,ALL,MOD,59030133
2022-W11,IT,3312433.0,,,85,,5,0,0,0,0,0,0,ITF4,ALL,NVXD,59030133
2022-W11,IT,3312433.0,,,374,,1860,7994,969,0,0,0,0,ITF4,ALL,COM,59030133
2022-W11,IT,4645744.0,,,305,,2356,4823,20,0,0,0,0,ITF3,ALL,MOD,59030133
2022-W11,IT,4645744.0,,,79,,7,0,0,0,0,0,0,ITF3,ALL,NVXD,59030133
2022-W11,IT,4645744.0,,,829,,2646,10505,376,0,0,0,0,ITF3,ALL,COM,59030133
2022-W11,IT,252530.0,,,5,,47,264,3,0,0,0,0,ITF2,ALL,MOD,59030133
2022-W11,IT,252530.0,,,23,,2,0,0,0,0,0,0,ITF2,ALL,NVXD,59030133
2022-W11,IT,252530.0,,,39,,133,645,30,0,0,0,0,ITF2,ALL,COM,59030133
2022-W11,IT,1087183.0,,,52,,380,2013,17,0,0,0,0,ITF1,ALL,MOD,59030133
2022-W11,IT,1087183.0,,,46,,5,0,0,0,0,0,0,ITF1,ALL,NVXD,59030133
2022-W11,IT,1087183.0,,,157,,464,3229,124,0,0,0,0,ITF1,ALL,COM,59030133
2022-W21,IT,732500.0,,,7,,57,419,1505,0,0,0,0,ITI2,ALL,COM,59030133
2022-W21,IT,3127488.0,,,2,,10,133,70,0,0,0,0,ITI1,ALL,MOD,59030133
2022-W21,IT,3127488.0,,,3,,10,3,0,0,0,0,0,ITI1,ALL,NVXD,59030133
2022-W21,IT,3127488.0,,,99,,237,4172,13310,0,0,0,0,ITI1,ALL,COM,59030133
2022-W21,IT,3744936.0,,,15,,48,942,1712,0,0,0,0,ITH5,ALL,MOD,59030133
2022-W21,IT,3744936.0,,,4,,16,1,0,0,0,0,0,ITH5,ALL,NVXD,59030133
2022-W21,IT,3744936.0,,,96,,260,5566,16455,0,0,0,0,ITH5,ALL,COM,59030133
2022-W21,IT,1307406.0,,,10,,23,346,902,0,0,0,0,ITC3,ALL,MOD,59030133
2022-W21,IT,1307406.0,,,3,,7,1,0,0,0,0,0,ITC3,ALL,NVXD,59030133
2022-W21,IT,1307406.0,,,113,,108,1175,2511,0,0,0,0,ITC3,ALL,COM,59030133
2022-W21,IT,1024661.0,,,4,,5,37,406,0,0,0,0,ITH4,ALL,MOD,59030133
2022-W21,IT,1024661.0,,,0,,15,2,0,0,0,0,0,ITH4,ALL,NVXD,59030133
2022-W21,IT,1024661.0,,,0,,2,0,0,0,0,0,0,ITH4,ALL,JANSS,59030133
2022-W21,IT,1024661.0,,,30,,98,856,1620,0,0,0,0,ITH4,ALL,COM,59030133
2022-W21,IT,4094677.0,,,8,,59,1200,1336,0,0,0,0,ITH3,ALL,MOD,59030133
2022-W21,IT,4094677.0,,,6,,29,1,0,0,0,0,0,ITH3,ALL,NVXD,59030133
2022-W21,IT,4094677.0,,,76,,200,3061,5415,0,0,0,0,ITH3,ALL,COM,59030133
2022-W21,IT,449838.0,,,0,,6,58,60,0,0,0,0,ITH2,ALL,MOD,59030133
2022-W21,IT,449838.0,,,2,,5,0,0,0,0,0,0,ITH2,ALL,NVXD,59030133
2022-W21,IT,449838.0,,,0,,1,0,0,0,0,0,0,ITH2,ALL,JANSS,59030133
2022-W21,IT,449838.0,,,14,,32,258,872,0,0,0,0,ITH2,ALL,COM,59030133
2022-W21,IT,432409.0,,,1,,3,70,22,0,0,0,0,ITH1,ALL,MOD,59030133
2022-W21,IT,432409.0,,,4,,3,0,0,0,0,0,0,ITH1,ALL,NVXD,59030133
2022-W21,IT,432409.0,,,19,,29,272,506,0,0,0,0,ITH1,ALL,COM,59030133
2022-W21,IT,8349264.0,,,50,,100,2240,4270,0,0,0,0,ITC4,ALL,MOD,59030133
2022-W21,IT,8349264.0,,,16,,39,2,0,0,0,0,0,ITC4,ALL,NVXD,59030133
